<<<<<<< HEAD
ID товара,Название препарата,Рецептурность препарата,Производитель,Активное вещество,Текущая цена,Старая цена,Ссылка на картинку,Ссылка на товар,Название региона
649560,Октолипен Таблетки 600 мг 60 шт,По рецепту,Фармстандарт,Тиоктовая кислота,1627,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/wpcsu5UBJVujGJtQ4mzt-300x185,https://gorzdrav.org/kaliningrad/p/oktolipen-0-6-n60-tabl-p-plen-oboloch-649560/,Калининград
20786,Тиогамма Таблетки покрытые пленочной оболочкой 600 мг 60 шт,По рецепту,Вёрваг,Тиоктовая кислота,1973,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/aKdWtZUB4hniyrJCfC8b-300x283,https://gorzdrav.org/kaliningrad/p/tiogamma-tabl-p-o-600mg-n60-20786/,Калининград
666776,"Седжаро Раствор для подкожного введения 7,5 мг/доза шприц-ручка 2,4 мл 1 шт + игла 4 шт",По рецепту,Герофарм,Тирзепатид,10634,11816,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/lmgGYZgBJwpR6z9ZDMTk-300x210,https://gorzdrav.org/kaliningrad/p/sedzharo-rr-dlja-p-k-vved-7-5-mg-doza-shpricruchka-2-4-ml-1-igla-4-666776/,Калининград
43724,Глидиаб Таблетки 80 мг 60 шт,По рецепту,Акрихин,Гликлазид,146,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/UsP9tZUBybk0vr4zvwZF-300x300,https://gorzdrav.org/kaliningrad/p/glidiab-tabl-80mg-n60-43724/,Калининград
31300,Амарил Таблетки 1 мг 30 шт,По рецепту,Санофи,Глимепирид,534,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/GbuDtZUB4hniyrJCNMYk-300x300,https://gorzdrav.org/kaliningrad/p/amaril-tabl-1mg-n30-31300/,Калининград
42922,НовоРапид ФлексПен Раствор для подкожного и внутривенного введения в шприц-ручках 100 ЕД/мл 3 мл 5 шт,По рецепту,Ново Нордиск,Инсулин аспарт,2024,2249,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/TPLztZUB4hniyrJCjV5b-201x300,https://gorzdrav.org/kaliningrad/p/novorapid-flekspen-rr-d-in-100ed-ml-3ml-n5-42922/,Калининград
204111,Сигдуо Лонг® Таблетки с модифицированным высвобождением покрытые пленочной оболочкой 5 мг+1000 мг 60 шт,По рецепту,AstraZeneca,Дапаглифлозин+Метформин,3298,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/U2wRoZcBH0J-GJRPTHiK-300x300,https://gorzdrav.org/kaliningrad/p/sigduo-long-tabl-p-o-s-modif-vysvob-5mg-1000mg-60-204111/,Калининград
2,"Набор из двух упаковок Семавик Раствор 0,25мг/0,5мг/1мг/доза 3мл+Игла одноразовая 9 шт",По рецепту,,,11138,12138,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/eIvB4pkBjIJXAzWhQMrp-300x300,https://gorzdrav.org/kaliningrad/p/bundle_semavik-rr-p-k-vved-0-25-0-5-1mg-doza-3ml-n1-shpricruchka-igla-odnoraz-n9-668719-2/,Калининград
651269,Метформин-Реневал Таблетки 500 мг 60 шт,По рецепту,Обновление,Метформин,122,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/B8knu5UBAi6hE-ZkdRfi-300x200,https://gorzdrav.org/kaliningrad/p/metformin-reneval-tabl-p-pl-ob-500mg-n60-651269/,Калининград
300777,"Глюкованс Таблетки покрытые оболочкой 2,5 мг + 500 мг 60 шт",По рецепту,МЕРК,Глибенкламид+Метформин,827,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/JJFPuZUB7vQMbYfxNTyi-300x300,https://gorzdrav.org/kaliningrad/p/gljukovans-tab-p-o-500mg-60-300777/,Калининград
62969,Элькар Раствор для инъекций 100 мг/мл 5 мл 10 шт,По рецепту,ПИК-Фарма,Левокарнитин,752,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/TUFKfZgBEl21vw0W-OBA-300x300,https://gorzdrav.org/kaliningrad/p/elkar-rr-d-in-v-v-v-m-0-1-ml-5ml-n10-62969/,Калининград
61274,Джардинс Таблетки покрытые пленочной оболочкой 10 мг 30 шт,По рецепту,Берингер,Эмпаглифлозин,3129,3477,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/9lVDtpUBybk0vr4zfIH6-300x300,https://gorzdrav.org/kaliningrad/p/dzhardins-tabl-p-o-10mg-n30-61274/,Калининград
