ID товара,Название препарата,Рецептурность препарата,Производитель,Активное вещество,Текущая цена,Старая цена,Ссылка на картинку,Ссылка на товар,Название региона
667071,Седжаро Раствор для подкожного введения 10 мг/доза + игла 4 шт,По рецепту,Герофарм,Тирзепатид,12398,13776,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/ktIEYZgBJwpR6z9Z7YRR-300x210,https://gorzdrav.org/p/sedzharo-0-01-doza-shpricruchka-rr-p-k-igla-n4-667071/,Москва
24477,Сиофор Таблетки покрытые оболочкой 1000 мг 60 шт,По рецепту,Berlin-Chemie,Метформин,219,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/8o1ltZUBrbRC1cy50_eL-300x300,https://gorzdrav.org/p/siofor-tabl-p-o-1000mg-n60-24477/,Москва
24602,Биосулин Р Раствор для инъекций картридж 100 МЕ/мл 3 мл 5 шт,По рецепту,Фармстандарт,Инсулин растворимый [человеческий генно-инженерный],1133,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/5YxltZUB4hniyrJChb6l-236x300,https://gorzdrav.org/p/biosulin-r-rr-d-in-100me-ml-3ml-5-24602/,Москва
666581,"Седжаро Раствор для подкожного введения 5 мг/доза шприц-ручка 2,4 мл 1 шт + игла 4 шт",По рецепту,Герофарм,Тирзепатид,7420,8670,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/T7YHYZgBEl21vw0WA5ri-300x300,https://gorzdrav.org/p/sedzharo-rr-dlja-p-k-vved-5-mg-doza-shpricruchka-2-4-ml-1-igla-4-666581/,Москва
665151,Семуглин Раствор для подкожного введения шприц-ручка 1мг/доза 3мл + Игла 4 шт,По рецепту,Фармасинтез,Семаглутид,4914,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/cmYOVpgBEl21vw0WyT2y-300x300,https://gorzdrav.org/p/semuglin-0-001-doza-3ml-n1-shpricruchka-rr-p-k-igla-n4-665151/,Москва
667590,"Семавик Некст Раствор для подкожного введения 0,25 мг/доза шприц-ручка 3 мл 1 шт + иглы 4 шт",По рецепту,Герофарм,Семаглутид,2784,3484,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/gDPwCZgBH0J-GJRPwl2e-300x300,https://gorzdrav.org/p/semavik-nekst-0-00025-doza-3ml-n1-shpricruchka-rr-p-k-igla-odnoraz-n4-667590/,Москва
623061,Росинсулин Аспарт Р Раствор для внутривенного и подкожного введения картридж в шприц-ручке 3 мл 5 шт,По рецепту,МЕДСИНТЕЗ ЗАВОД,Инсулин двухфазный [человеческий генно-инженерный],2171,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/YzpBupUBRjkwyzW3aR31-300x276,https://gorzdrav.org/p/rosinsulin-aspart-r-100me-ml-3ml-n5-kartridzh-v-shpricruchke-rr-v-v-p-k-623061/,Москва
660472,Мерифатин МВ Таблетки с пролонгированным высвобождением 1000 мг 60 шт,По рецепту,Фармасинтез,Метформин,601,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/P6eONJYBbTelyQYwXbl7-300x300,https://gorzdrav.org/p/merifatin-mv-tab-prolong-1000mg-60-660472/,Москва
644479,"Квинсента Раствор для подкожного введения 1,34 мг/мл 0,25/0,5 мг/доза картридж в шприц-ручке 1,5 мл 1 шт + иглы 6 шт",По рецепту,Промомед,Семаглутид,4961,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/y0yOupUBRjkwyzW3Bj38-300x188,https://gorzdrav.org/p/kvinsentarrp-kvved-0-25-0-5mg-doza-1-5mlshpricruchka-1-vkomplektesiglami6sht-644479/,Москва
335986,Росинсулин С Суспензия для подкожного введения 100 МЕ/мл 5 мл 5 шт,По рецепту,МЕДСИНТЕЗ ЗАВОД,Инсулин-изофан [человеческий генно-инженерный],1226,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/TxKauZUBVT-7ZLtguAQm-300x224,https://gorzdrav.org/p/rosinsulin-s-susp-d-p-k-100me-ml-fl-5ml-5-335986/,Москва
667678-2,Набор из двух упаковок Седжаро Раствор для подкожного введения 15 мг/доза шприц-ручка + игла 4 шт,По рецепту,,,32126,35126,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/TtsOLpwBOkTyP3bf2_L9-300x300,https://gorzdrav.org/p/bundle_sedzharo-0-015-doza-shpricruchka-rr-p-k-igla-n4-667678-2/,Москва
191064,Инвокана 100 мг Таблетки покрытые пленочной оболочкой 30 шт,По рецепту,Янссен,Канаглифлозин,3278,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/kMjKt5UB_o6zmeq9acIb-300x300,https://gorzdrav.org/p/invokana-tabl-p-p-o-100mg-30-191064/,Москва
639693,Форсиглекс Таблетки 1000 мг + 50 мг 56 шт,По рецепту,Польфарма,Метформин+Ситаглиптин,1309,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/STJsupUBarzHQIadVXmy-300x169,https://gorzdrav.org/p/forsigleks-tabl-p-o-1000mg-50mg-n56-639693/,Москва
20786,Тиогамма Таблетки покрытые пленочной оболочкой 600 мг 60 шт,По рецепту,Вёрваг,Тиоктовая кислота,2018,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/aKdWtZUB4hniyrJCfC8b-300x283,https://gorzdrav.org/p/tiogamma-tabl-p-o-600mg-n60-20786/,Москва
665368,"Семуглин Раствор для подкожного введения шприц-ручка 0,25мг/0,5мл/доза 3мл + Игла 8 шт",По рецепту,Фармасинтез,Семаглутид,4963,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/ucoLVpgBEl21vw0Wowog-300x300,https://gorzdrav.org/p/semuglin-0-25-0-5mg-doza-3ml-n1-shpricruchka-rr-p-k-igla-n4-665368/,Москва
